L1,L2,L3,Link
Electronics,Featured,Lenovo Phab Series,https://www.flipkart.com/mobiles-accessories/~lenovo-phab-series1/pr?sid=tyy&otracker=nmenu_sub_Electronics_0_Lenovo%20Phab%20Series
Electronics,Featured,JBL Speakers,https://www.flipkart.com/all/audio-video/jbl~brand/pr?otracker=categorytree&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&p%5B%5D=facets.brand%255B%255D%3DJBL&sid=all%2F0pm&otracker=nmenu_sub_Electronics_0_JBL%20Speakers
Electronics,Featured,Smartphones On Buyback Guarantee,https://www.flipkart.com/buyback-guarantee-store?otracker=nmenu_sub_Electronics_0_Smartphones%20On%20Buyback%20Guarantee
Electronics,Featured,Philips,https://www.flipkart.com/health-personal-care-appliances/pr?count=40&otracker=categorytree&p%5B%5D=facets.brand%255B%255D%3DPhilips&p%5B%5D=facets.fulfilled_by%255B%255D%3DFlipkart%2BAssured&sid=zlw&otracker=nmenu_sub_Electronics_0_Philips
Electronics,Featured,Dr. Morepen,https://www.flipkart.com/search?as=off&as-show=on&count=40&otracker=start&p%5B%5D=facets.brand%255B%255D%3DDr.%2BMorepen&q=bp+monitor&sid=zlw&otracker=nmenu_sub_Electronics_0_Dr.%20Morepen
Electronics,Featured,Complete Mobile Protection,https://www.flipkart.com/mobile-complete-protection-bbd-store?otracker=nmenu_sub_Electronics_0_Complete%20Mobile%20Protection
Electronics,Featured,Mobiles No Cost EMI,https://www.flipkart.com/no-cost-emi-mobiles-store?otracker=nmenu_sub_Electronics_0_Mobiles%20No%20Cost%20EMI
Electronics,Featured,Huawei Watch Gt 2e Smart Watch,https://www.flipkart.com/huawei-watch-gt-2e-smartwatch-store?otracker=nmenu_sub_Electronics_0_Huawei%20Watch%20Gt%202e%20Smart%20Watch
TVs & Appliances,Top Brands,Mi,https://www.flipkart.com/televisions/pr?sid=ckf%2Cczl&p%5B%5D=facets.brand%255B%255D%3DMi&otracker=categorytree&p%5B%5D=facets.serviceability%5B%5D%3Dtrue&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Mi
TVs & Appliances,Top Brands,Vu,https://www.flipkart.com/televisions/pr?sid=ckf%2Cczl&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=categorytree&p%5B%5D=facets.serviceability%5B%5D%3Dtrue&p%5B%5D=facets.brand%255B%255D%3DVu&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Vu
TVs & Appliances,Top Brands,Thomson,https://www.flipkart.com/televisions/pr?sid=ckf%2Cczl&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=categorytree&p%5B%5D=facets.serviceability%5B%5D%3Dtrue&p%5B%5D=facets.brand%255B%255D%3DThomson&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Thomson
TVs & Appliances,Top Brands,Samsung,https://www.flipkart.com/televisions/pr?sid=ckf%2Cczl&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=categorytree&p%5B%5D=facets.serviceability%5B%5D%3Dtrue&p%5B%5D=facets.brand%255B%255D%3DSamsung&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Samsung
TVs & Appliances,Top Brands,iFFALCON by TCL,https://www.flipkart.com/televisions/pr?sid=ckf%2Cczl&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=categorytree&p%5B%5D=facets.serviceability%5B%5D%3Dtrue&p%5B%5D=facets.brand%255B%255D%3DiFFALCON%2Bby%2BTCL&otracker=nmenu_sub_TVs%20%26%20Appliances_0_iFFALCON%20by%20TCL
TVs & Appliances,Top Brands,Nokia,https://www.flipkart.com/nokia-139cm-55-inch-ultra-hd-4k-led-smart-android-tv-sound-jbl/p/itmffvfvyztsmfmq?pid=TVSFFVFVJEGZ3R5H&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Nokia
TVs & Appliances,Top Brands,LG,https://www.flipkart.com/televisions/pr?sid=ckf%2Cczl&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=categorytree&p%5B%5D=facets.serviceability%5B%5D%3Dtrue&p%5B%5D=facets.brand%255B%255D%3DLG&otracker=nmenu_sub_TVs%20%26%20Appliances_0_LG
TVs & Appliances,Top Brands,BPL,"https://www.flipkart.com/televisions/pr?sid=ckf,czl&p[]=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&p[]=facets.brand%255B%255D%3DBPL&otracker=categorytree&otracker=nmenu_sub_TVs%20%26%20Appliances_0_BPL"
TVs & Appliances,Top Brands,Motorola,"https://www.flipkart.com/televisions/pr?sid=ckf,czl&p[]=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&p[]=facets.brand%255B%255D%3DMotorola&otracker=categorytree&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Motorola"
TVs & Appliances,Shop by Screen Size,24 & below,"https://www.flipkart.com/televisions/pr?sid=ckf,czl&p[]=facets.screen_size%255B%255D%3D24%2Binch%2B%2526%2BBelow&p[]=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=categorytreehttps://www.flipkart.com/televisions/pr?sid=ckf,czl&p[]=facets.screen_size%255B%255D%3D24%2Binch%2B%2526%2BBelow&p[]=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=categorytree&otracker=nmenu_sub_TVs%20%26%20Appliances_0_24%20%26%20below"
TVs & Appliances,Shop by Screen Size,28 - 32,"https://www.flipkart.com/televisions/pr?sid=ckf,czl&p[]=facets.screen_size%255B%255D%3D28%2B-%2B32%2Binch&p[]=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=categorytree&otracker=nmenu_sub_TVs%20%26%20Appliances_0_28%20-%2032"
TVs & Appliances,Shop by Screen Size,39 - 43,"https://www.flipkart.com/televisions/pr?sid=ckf,czl&p[]=facets.screen_size%255B%255D%3D39%2B-%2B43%2Binch&p[]=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=categorytree&otracker=nmenu_sub_TVs%20%26%20Appliances_0_39%20-%2043"
TVs & Appliances,Shop by Screen Size,48 - 55,"https://www.flipkart.com/televisions/pr?sid=ckf,czl&p[]=facets.screen_size%255B%255D%3D48%2B-%2B55%2Binch&p[]=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=categorytree&otracker=nmenu_sub_TVs%20%26%20Appliances_0_48%20-%2055"
TVs & Appliances,Shop by Screen Size,60 & above,"https://www.flipkart.com/televisions/pr?sid=ckf,czl&p[]=facets.screen_size%255B%255D%3D60%2Binch%2B%2526%2BAbove&p[]=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=categorytree&otracker=nmenu_sub_TVs%20%26%20Appliances_0_60%20%26%20above"
TVs & Appliances,Washing Machine,Fully Automatic Front Load,https://www.flipkart.com/home-kitchen/home-appliances/washing-machines/fully-automatic-front-load~function/pr?sid=j9e%2Cabm%2C8qx&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Fully%20Automatic%20Front%20Load
